,NPC1_Z,NPC1_A,D502E_Z,D502E_A,D508N_Z,D508N_A,P424A_Z,P424A_A,S425L_Z,S425L_A,Y420S_Z,Y420S_A
0,0.4433147865794688,0.468239255082271,0.566505074999333,0.3924283374069716,0.4046727072585944,0.497385162625505,0.2908195316686965,0.5148203570178631,0.4893587640984884,0.4522123395043528,0.4281308211283088,0.5074012219141771
1,0.4439639625014625,0.4689733467906252,0.5670696606238073,0.393019083506132,0.4054232356439379,0.4980923609131142,0.2913966369057817,0.515410515996715,0.4898489563120452,0.4529017553509811,0.4286537063878021,0.5079212537391993
2,0.4444502221846672,0.4696040885682321,0.5677746031657281,0.3935886177216002,0.4059162475191157,0.4986702317163117,0.2921369541841634,0.5160930148723193,0.4905180934481418,0.4535195695887885,0.4292505096094819,0.5084407536773582
3,0.4450977420747043,0.4700978621521268,0.5683379276451643,0.3941370320079045,0.4064283454681772,0.4991192242340501,0.2926294585307501,0.5165423506354536,0.491121166312347,0.4542950583046221,0.4297906467106979,0.5089911590587797
4,0.4457622684795114,0.4706421145626473,0.5688585061331157,0.3947454876246212,0.4070380817564863,0.4997279259757253,0.2933121204450986,0.5170841324194739,0.49157705398035,0.454770271675711,0.4303301058489866,0.5096037676469828
5,0.4463003472998872,0.4713215462929739,0.5693926588919108,0.3953530068179576,0.4077842566848308,0.50027192605622,0.2936392344357272,0.517594435827898,0.4921788292887047,0.4553504145161174,0.4307574723669921,0.5102783554100644
6,0.4467482512556708,0.4719152466280359,0.5698140047418983,0.3958989770130759,0.4082352263095383,0.5007833863058958,0.2941564209736038,0.5182123117024526,0.4927311640235474,0.4559824558028521,0.4314811699251776,0.5108894205207228
7,0.4472493711566289,0.4724574054875212,0.570487510818598,0.3964240154178352,0.4089009660052174,0.5013581554138717,0.2945912422323515,0.5186752355761743,0.4933639630131086,0.4566136222234286,0.4321110968258047,0.5115310352266028
8,0.4476784560373661,0.4731680462584091,0.5711742291105228,0.3971095566717074,0.4094679474635347,0.50190038852346,0.2950796502641278,0.5194458585839337,0.4939959514004138,0.4572264209338738,0.4328694953447286,0.512234321380362
9,0.4483570006144657,0.4737932038347532,0.5718041622793594,0.3976531151644609,0.4100536550257783,0.5024261139709998,0.2957025532524195,0.5198769085081583,0.4946271322925988,0.4580654975000846,0.4334051222586092,0.512780654861316
